CIUDAD,CARGO,SECTOR,LID01,LID02,LID03,LID04,LID05,LID06,LID07,LID08,LID09,LID10,LID11,LID12,LID13,LID14,LID15,LID16,LID17,LID18,LID19,LID20,LID21,LID22,LID23,LID24,LID25,LID26,LID27,LID28,LID29,LID30,LID31,LID32,LID33,LID34,LID35,LID36,LID37,LID38,LID39,LID40,LID41,LID42,LID43,LID44,LID45,INN01,INN02,INN03,INN04,INN05,INN06,INN07,INN08,INN09,INN10,INN11,INN12,INN13,INN14,INN15,INN16,INN17,INN18,INN19,INN20,INN21,INN22,INN23,INN24,INN25,INN26,INN27,INN28,INN29,DEM01,DEM02,DEM03,OPN01,CSN01,AGR01,EST01,EST02,HON01,OPN02,CSN02,AGR02,EXT01,NEU01,HON02,OPN03,CSN03,AGR03,EXT02,NEU02,VAL01,OPN04,CSN04,AGR04,EXT03,NEU03,VAL02,OPN05,CSN05,AGR05,NEU04,HON03,OPN06,CSN06,CSN07,AGR06,EXT04,NEU05,HON04,OPN07,CSN08,AGR07,EXT05,NEU06,VAL03,OPN08,CSN09,AGR08,EXT06,NEU07,VAL04,OPN09,CSN10,AGR09,NEU08,HON05,AGR10,OPN10,CSN11,AGR11,EXT07,NEU09,HON06
Caucasia,CEO,Mecanica,5,4,2,5,3,3,1,4,4,5,4,3,4,5,5,4,2,4,5,1,5,5,5,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,5,3,5,5,4,5,5,4,4,4,5,5,3,4,5,5,5,4,5,5,1,3,5,5,5,3,5,3,Hombre,Menos de 25 años,Pregrado (universitario),3,5,5,4,3,5,3,5,3,3,5,2,5,1,3,5,4,5,1,2,1,3,3,2,4,2,3,2,3,2,3,2,3,3,5,5,5,4,4,3,3,3,3,2,4,3,3,2,2,4,4,3,3,2,2,3,2,3,4,1
Montería,Propietario,Comercio,5,5,3,5,2,5,1,5,5,5,5,1,5,5,5,5,3,5,5,1,5,5,5,5,5,5,5,1,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,5,5,2,5,2,5,5,5,5,5,1,5,5,3,5,1,3,1,Hombre,45 a 54 años,Técnico o tecnólogo,1,5,3,4,1,3,5,5,3,1,3,1,5,1,5,3,3,2,1,1,3,5,1,3,5,1,3,3,1,3,1,1,1,5,1,1,5,5,3,5,5,5,5,1,3,3,3,5,1,5,3,1,3,3,1,3,3,5,3,1
Montería,CEO,Agropecuario / Agroindustrial,5,4,3,5,4,5,1,4,5,4,3,1,4,5,4,4,1,4,4,1,5,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,3,4,5,3,2,2,1,3,4,4,4,4,3,5,5,3,5,4,4,3,Mujer,25 a 34 años,Pregrado (universitario),1,4,1,4,2,3,5,5,2,3,4,1,5,1,1,5,1,3,1,1,1,3,3,1,5,4,1,1,5,3,2,1,1,4,1,5,4,4,4,4,3,1,3,1,5,1,3,1,3,1,5,1,1,1,5,1,1,3,3,1
Montería,"CEO, Propietario",Agropecuario / Agroindustrial,3,2,2,5,1,5,1,4,4,3,5,2,4,5,5,5,2,4,5,1,4,4,5,3,4,4,3,2,5,5,4,4,4,4,4,5,4,4,5,4,4,4,3,4,4,3,4,4,5,5,3,3,4,3,3,4,5,5,3,3,4,4,4,4,4,4,3,4,3,3,4,4,4,1,Mujer,35 a 44 años,Pregrado (universitario),2,3,5,4,3,3,3,5,3,2,4,1,3,5,3,5,3,4,3,3,2,4,2,3,5,5,5,3,4,2,2,3,3,3,4,5,3,4,3,3,3,3,4,2,4,4,3,3,3,3,3,1,3,5,5,3,3,3,4,1
Purísima,Gerente de la empresa,Agropecuario / Agroindustrial,5,5,4,5,1,5,1,5,5,5,5,1,5,5,5,4,3,5,5,1,5,5,5,4,5,5,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,1,4,2,5,5,5,5,5,3,5,5,4,5,2,5,3,Mujer,45 a 54 años,Pregrado (universitario),1,4,4,5,2,5,5,5,3,1,3,1,5,1,4,5,4,4,4,2,1,5,2,3,5,2,4,1,2,3,1,1,3,4,5,5,4,4,5,4,4,3,5,2,5,3,4,2,1,3,5,1,2,5,2,1,2,2,3,1
Cereté ,Propietario,Comercio,4,3,2,5,2,4,1,3,4,5,5,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,2,4,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,3,4,4,3,3,3,4,4,3,3,3,3,4,3,3,3,2,3,3,3,4,3,3,2,Hombre,45 a 54 años,Educación media (bachillerato),2,4,2,4,3,4,3,4,3,2,3,1,3,2,2,3,2,3,2,2,2,4,3,2,2,2,3,2,2,2,3,2,3,3,2,5,4,4,3,3,3,3,2,2,3,3,3,2,2,2,3,1,3,4,4,2,2,3,2,1
Montería,Propietario,Comercio,4,4,5,4,4,5,4,4,5,3,3,4,4,5,4,4,5,4,4,3,4,5,4,3,3,3,4,4,4,4,4,5,3,4,4,5,4,5,4,4,4,4,4,5,3,4,4,4,5,4,4,4,4,4,4,5,4,4,5,5,4,4,4,4,5,4,5,5,4,4,4,4,4,4,Hombre,35 a 44 años,Técnico o tecnólogo,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,3,3,4,4,5,3,4,5,3,3,5,5,5,4,4,5,5,4,4,3,5,5,5,4,3,4,4,5,4
Montería,"Gerente de la empresa, Representante legal","Servicios (consultoría, salud, educación, turismo, etc.)",5,4,3,5,2,5,1,5,5,4,4,1,4,5,4,5,1,4,4,1,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,3,4,2,4,2,5,4,4,4,4,4,4,4,4,4,4,4,4,Hombre,25 a 34 años,Pregrado (universitario),5,5,5,4,2,5,3,5,5,3,5,1,3,1,5,3,4,2,1,4,2,4,2,1,3,1,4,2,3,1,5,1,1,5,4,5,5,5,3,4,4,4,4,5,5,2,5,3,4,5,3,1,3,1,3,3,1,1,3,1
Montería,"Propietario, Gerente de la empresa",Comercio,3,4,3,4,2,5,2,3,3,4,4,3,2,4,2,4,4,4,4,2,5,2,4,1,4,3,4,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,4,3,4,3,3,3,3,3,4,3,2,5,3,5,4,3,2,3,4,3,2,4,2,4,3,2,1,3,1,1,2,Mujer,55 a 64 años,"Educación media (bachillerato), Técnico o tecnólogo",3,3,5,4,5,3,2,4,3,3,2,1,1,4,5,3,3,2,3,5,3,4,4,3,2,1,5,3,4,2,5,1,4,2,2,5,2,3,1,3,4,5,3,4,3,4,3,4,2,3,1,2,1,5,5,3,2,2,1,1
San Pelayo,Gerente de la empresa,Comercio,5,4,3,4,2,4,2,4,4,4,4,2,5,5,4,4,2,4,3,3,5,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,4,4,4,5,5,5,4,4,4,4,4,5,4,4,4,4,4,5,4,5,4,4,3,4,4,3,4,5,4,3,Hombre,Menos de 25 años,Pregrado (universitario),3,4,2,4,4,2,4,4,2,4,4,1,2,2,2,4,2,3,2,2,2,3,2,3,3,2,3,3,3,2,3,2,3,2,3,5,4,4,4,3,4,4,3,2,4,4,2,3,3,4,4,2,3,4,4,2,2,2,3,1
Villavicencio,Gerente de la empresa,Comercio,2,4,3,5,1,5,1,5,5,4,5,1,5,5,5,5,1,5,5,1,4,5,5,2,5,4,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,4,4,5,3,5,3,5,1,4,4,4,4,5,5,5,2,3,5,2,5,5,2,2,Hombre,35 a 44 años,"Posgrado (especialización, maestría o doctorado)",3,5,2,5,1,5,5,5,2,4,1,1,4,2,3,5,3,4,5,1,1,5,1,2,1,1,3,4,3,1,1,1,2,3,2,5,3,5,5,3,2,1,4,1,3,4,3,1,5,3,4,1,5,5,3,2,2,3,3,1
Montería,Propietario,Comercio,5,1,3,5,3,3,1,5,5,5,5,2,3,5,5,5,1,5,5,4,4,4,4,3,5,5,3,3,5,5,5,3,3,4,5,5,5,5,4,5,5,5,5,5,4,4,5,5,3,4,3,3,5,3,5,5,5,5,3,3,3,5,5,5,4,5,3,5,5,5,5,5,5,5,Mujer,Menos de 25 años,Técnico o tecnólogo,1,4,3,5,3,5,3,5,1,2,5,3,5,2,3,2,3,2,3,3,3,5,3,1,5,3,5,3,5,4,1,1,3,3,3,3,5,5,5,3,5,3,3,2,3,4,5,1,1,1,3,1,3,5,3,1,1,1,3,3
Bogotá,CEO,Tecnologías de la información y comunicaciones (TIC),4,5,2,5,2,5,1,5,5,5,5,1,5,5,4,5,1,5,1,1,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,5,4,5,3,2,5,5,4,5,3,5,4,Hombre,25 a 34 años,Pregrado (universitario),1,3,1,5,5,5,5,5,4,1,4,1,4,1,5,4,3,2,4,4,3,4,2,1,5,5,5,1,3,2,1,1,5,5,2,5,5,5,5,4,2,4,5,1,4,1,4,1,1,5,1,1,4,5,1,4,1,5,4,1
Montería,CEO,Otro,4,5,1,5,1,5,2,5,4,4,4,1,5,5,3,5,1,4,5,1,4,4,4,4,4,5,2,2,5,5,5,5,5,5,5,5,4,4,4,4,5,5,4,4,5,4,5,4,5,5,5,1,2,5,5,5,5,5,4,5,5,5,5,5,5,5,1,5,3,2,4,3,5,2,Hombre,25 a 34 años,"Posgrado (especialización, maestría o doctorado)",1,5,2,5,1,5,5,5,3,1,4,1,5,1,5,5,2,5,5,1,1,4,1,3,5,2,5,2,4,1,4,1,4,4,2,5,5,5,1,3,5,1,5,1,5,3,1,1,4,5,2,2,2,5,1,1,2,3,5,1
Montería,"Gerente de la empresa, Representante legal",Comercio,4,4,4,4,3,3,3,3,4,3,4,3,3,3,3,4,4,4,5,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,2,2,2,3,3,4,3,2,3,3,2,3,2,2,1,Mujer,35 a 44 años,Técnico o tecnólogo,5,3,4,4,4,5,2,5,3,3,3,1,2,2,5,1,4,1,1,2,5,3,3,3,2,2,3,2,4,2,5,1,5,3,2,5,3,5,2,4,3,2,3,3,1,4,3,2,4,3,3,1,4,4,5,3,1,5,1,1
Cúcuta,Representante legal,Restaurante,5,5,4,5,3,5,1,5,4,5,5,2,5,5,4,5,2,5,1,1,5,5,5,5,5,4,3,1,5,5,5,4,4,5,5,5,3,5,4,5,5,5,4,5,4,5,5,4,5,5,4,5,5,3,4,5,5,5,1,4,1,3,5,4,4,4,1,5,4,2,4,4,4,5,Hombre,Menos de 25 años,Pregrado (universitario),1,5,3,5,1,5,3,5,5,3,5,1,4,3,3,5,3,3,3,4,4,5,4,4,4,4,4,2,3,3,3,2,3,3,1,2,4,5,3,3,5,5,4,4,3,1,4,3,2,4,3,3,4,4,3,3,3,4,4,1
Montería,"Gerente de la empresa, Representante legal","BAUSI Moda S.A.S pertenece al sector económico de Industria manufacturera, ya que se dedica principalmente a la confección y producción de prendas de vestir.",5,3,4,5,1,4,1,5,4,5,5,1,5,5,5,5,1,4,1,3,4,4,4,5,5,5,5,1,5,5,5,4,1,4,5,5,5,4,5,4,5,5,5,3,3,5,5,5,5,5,4,4,5,4,3,3,5,5,1,1,1,5,5,5,5,5,1,3,3,1,5,4,4,5,Mujer,35 a 44 años,Pregrado (universitario),5,5,1,5,5,3,1,5,3,3,5,1,1,1,1,5,2,3,3,1,1,5,4,1,3,1,4,1,5,1,4,1,1,3,3,5,4,5,2,2,3,1,1,1,5,1,2,1,3,1,4,1,2,5,2,3,1,4,3,1
Montería,"CEO, Gerente de la empresa","Servicios (consultoría, salud, educación, turismo, etc.)",4,4,2,4,2,4,1,5,5,5,5,1,5,5,5,5,3,5,4,1,3,4,4,4,5,5,5,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Hombre,25 a 34 años,Pregrado (universitario),2,4,4,4,2,4,4,4,3,2,3,1,5,2,4,5,2,4,4,2,3,5,4,2,5,2,5,3,2,3,2,1,3,3,2,1,4,4,2,4,3,3,3,2,3,3,3,2,2,3,3,1,4,4,3,2,1,3,3,1
Montería,"CEO, Representante legal",Comercio,4,4,1,5,1,4,1,4,5,4,4,4,4,4,4,4,4,5,5,4,4,5,4,4,4,4,4,3,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,3,3,4,5,3,4,2,4,5,4,3,5,4,5,5,5,5,2,5,5,Hombre,25 a 34 años,Pregrado (universitario),3,5,4,4,2,5,4,5,3,2,3,1,4,1,3,4,4,3,1,3,3,4,2,3,3,1,4,1,1,1,1,5,3,3,1,5,5,4,2,3,3,3,3,1,4,3,3,3,2,4,4,1,3,5,4,2,1,3,3,1
"Moñitos, Córdoba",Propietario,Comercio,5,3,3,5,1,5,2,3,5,5,5,3,5,5,4,4,5,4,2,2,4,3,4,4,5,5,3,2,5,4,4,4,5,4,5,5,4,5,5,3,4,5,4,4,5,3,5,4,4,3,5,5,5,4,3,4,5,5,3,4,3,4,4,5,4,3,3,4,4,2,4,4,3,5,Mujer,25 a 34 años,Pregrado (universitario),2,4,3,5,3,5,3,5,4,5,3,1,4,2,3,4,3,3,3,1,3,4,2,2,4,2,3,3,4,2,2,2,2,3,3,5,4,3,3,4,3,2,3,1,3,3,2,1,3,2,2,1,2,4,3,3,3,2,3,1
Cerete,Propietario,Comercio,3,4,3,3,3,3,2,4,4,4,3,2,3,4,3,3,2,4,3,3,3,3,4,3,5,4,4,3,5,4,4,4,5,3,4,4,3,4,3,3,2,3,4,3,3,4,2,4,3,4,3,4,3,4,3,4,3,5,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,5,Hombre,35 a 44 años,Educación media (bachillerato),1,4,1,3,2,3,1,4,3,2,4,1,3,3,1,3,4,2,4,3,2,5,2,1,3,2,5,1,4,1,2,1,4,3,2,4,3,2,4,5,2,3,4,2,2,3,3,2,3,4,5,1,2,1,2,1,1,4,3,1
